S.NO,Reg_No,Address,"No. of
Children","Status of the
Institution",Name of the Orphanage,City,Country,State,Column1,Column3,Column4,Column2,Column22,Column23,Column24,Column25,Column26
1,110/DSW/2010,"Siddha Sakthi Arul Jothi Vallalar Kalvi Nilayam, Lingathadimedu (po), Ariyalur Taluk & District - 621 705.",125,"3 years
registration",Siddha Sakthi Arul Jothi Vallalar Kalvi Nilayam,Ariyalur,India,Tamil Nadu,,,,,,,,,
2,298/DSW/2010,"Fatima Manaviyar Viduthi, Fatima Convent, Jayankondam, Ariyalur District 621 802.",204,"3 years
registration",Fatima Manaviyar Viduthi,Ariyalur,India,Tamil Nadu,,,,,,,,,
3,299/DSW/2010,"St. Joseph’s Home for Children, Thinner Post, Udayarpalayam Taluk, Ariyalur District",100,"3 years
registration",St. Joseph’s Home for Children,Ariyalur,India,Tamil Nadu,,,,,,,,,
4,345/DSW/2011,"St. Xavier Home for Children, Kumilanguzhi Via, Kallathur, Ariyalur District",104,"3 years
registration",St. Xavier Home for Children,Ariyalur,India,Tamil Nadu,,,,,,,,,
5,371/DSW/2011,"The Immaculate Heart of Mary Society -Amala Annai Boarding, Varadarajanpet, Ariyalur District",462,"3 years
registration",The Immaculate Heart of Mary Society -Amala Annai Boarding,Ariyalur,India,Tamil Nadu,,,,,,,,,
6,414/DSW/2011,"The Society of Mary Immaculate – St.Joseph’s Home for Children, Kokkudi (post), Kallagam (via), Ariyalur District – 621 653.",128,"3 years
registration",The Society of Mary Immaculate – St.Joseph’s Home for Children,Ariyalur,India,Tamil Nadu,,,,,,,,,
7,415/DSW/2011,"C.S.I. – Rainbow Home for Children, Pudukottai Village, Thirumalapadi – S.O, Ariyalur District – 621 851.",57,"3 years
registration",C.S.I. – Rainbow Home for Children,Ariyalur,India,Tamil Nadu,,,,,,,,,
8,416/DSW/2011,"The Immaculate Heart of Mary Society, Society No.3 – Infant Jesus Home for Children, Keelamichaelpatti (post), T.Palur (Via), Ariyalur District – 612904.",25,"3 years
registration",The Immaculate Heart of Mary Society,Ariyalur,India,Tamil Nadu,,,,, Ariyalur District – 612904.,,,,
9,632/DSW/2011,"The Society of Mary Immaculate – St. Joseph’s home for Children, Kulumur post, Sendurai Taluk, Ariyalur District – 621 714",72,"3 years
registration",The Society of Mary Immaculate – St. Joseph’s home for Children,Ariyalur,India,Tamil Nadu,,,,,,,,,
10,262/DSW/2010,"Seva Chakkara Samajam, No.89/41, Sami Pillai Street, Choolai, Chennai District – 600 112",136,"3 years
registration",Seva Chakkara Samajam,Chennai,India,Tamil Nadu,,,,, Chennai District – 600 112,,,,
11,273/DSW/2010,"The Madras Seva Sadan, No.13, Harrington Road, Chetpet, Chennai – 600 031",47,"3 years
registration",The Madras Seva Sadan,Chennai,India,Tamil Nadu,,,,, Chennai – 600 031,,,,
12,274/DSW/2010,"CMS Children’s Home, old no.804, New No.328, Poonamallee High Road, Kilpauk, Chennai – 10",86,"3 years
registration",CMS Children’s Home,Chennai,India,Tamil Nadu,,,,, Kilpauk, Chennai – 10,,,
13,325/DSW/2010,"Guild of Service – Foundling Home (Adoption Unit), 1775-D School Rd, Anna Nagar West, Chennai – 600 101 (The registration given to this institution was withdrawn vide No.19028/CW- Proceedings 1/2011, dated:30/12/2011)",32,3 yearsregistration,Guild of Service – Foundling Home (Adoption Unit),Chennai,India,Tamil Nadu,,,,, dated:30/12/2011),,,,
14,337/DSW/2010,"Young Women’s Christian Association – Girls Town, 1086, Poonamalle High Road, Chennai-600084",35,"3 years
registration",Young Women’s Christian Association – Girls Town,Chennai,India,Tamil Nadu,,,,,,,,,
15,375/DSW/2011,"Jeevitham Trust, Old No.7, New No.13, Thiruvalluvarpuram Second Street, Choolaimedu, Chennai – 600 094",6,"3 years
registration",Jeevitham Trust,Chennai,India,Tamil Nadu,,,,, Choolaimedu, Chennai – 600 094,,,
16,437/DSW/2011,"Christian Missions Charitable Trust, No.72/59, Spur Tank Road, Chetpet, Chennai – 600 031.",160,"3 years
registration",Christian Missions Charitable Trust,Chennai,India,Tamil Nadu,,,,, Chennai – 600 031.,,,,
17,438/DSW/2011,"Social Welfare Centre Johan Maasbach World Mission, Old No.10, New No.29, Arcot Road, Saligramam, Chennai-600 093.",13,"3 years
registration",Social Welfare Centre Johan Maasbach World Mission,Chennai,India,Tamil Nadu,,,,, Saligramam, Chennai-600 093.,,,
18,513/DSW/2011,"SIP Memorial Trust, No.16, Nabigal Nayagam Street, Anbalagan Nagar, T.V.K. Nagar, Chennai – 600 011.",33,"3 years
registration",SIP Memorial Trust,Chennai,India,Tamil Nadu,,,,, T.V.K. Nagar, Chennai – 600 011.,,,
19,514/DSW/2011,"Dr. John Joseph Foundation, No.1, New Mandapam Road, Kilpauk, Chennai-10",7,"3 years
registration",Dr. John Joseph Foundation,Chennai,India,Tamil Nadu,,,,, Chennai-10,,,,
20,607/DSW/2011,"Avvai Home Orphanage, 24/41, Besant Avenue, Adyar, Chennai -600 020.",152,"3 years
registration",Avvai Home Orphanage,Chennai,India,Tamil Nadu,,,,, Chennai -600 020.,,,,
21,631/DSW/2012,"Seva samajam Girls Home (unit of Guild of Service), No.29, Casa Major Road, Egmore, Chennai – 600 008.",51,"3 years
registration",Seva samajam Girls Home (unit of Guild of Service),Chennai,India,Tamil Nadu,,,,, Chennai – 600 008.,,,,
22,648/DSW/2011,"“Murthuzaviya educational and cultural Foundation of south india’’-Murthuzaviya Home For Destitute Children, 27/13 Big Street, Triplicane, Chennai 600 005.",50,"3 years
registration",“Murthuzaviya educational and cultural Foundation of south india’’-Murthuzaviya Home For Destitute Children,Chennai,India,Tamil Nadu,,,,,,,,,
23,655/DSW/2011,"St. Anne’s Home for Children, Sacred Heart Block, 64, West Madha Church Road, Royapuram, Chennai – 600 013",25,"3 years
registration",St. Anne’s Home for Children,Chennai,India,Tamil Nadu,,,,, Royapuram, Chennai – 600 013,,,
24,656/DSW/2011,"Guild of Service (Seva Samajam) – Children’s Home, 75, Bajanai Kovil Street, Pallipattu, Chennai – 600 113.",166,"3 years
registration",Guild of Service (Seva Samajam) – Children’s Home,Chennai,India,Tamil Nadu,,,,, Chennai – 600 113.,,,,
25,662/DSW/2012,"Karna Prayag Trust, 10, Raja Krishna Road, Teynampet, Chennai-18",29,"3 years
registration",Karna Prayag Trust,Chennai,India,Tamil Nadu,,,,, Chennai-18,,,,
26,349/DSW/2011,"CMS Children’s Home and Home for the Physically Challenged, CMS Children’s Home Grace Centre By-pass Road, Pattanam Post, Ondipudur (via) , Coimbatore District.",100,"3 years
registration",CMS Children’s Home and Home for the Physically Challenged,Coimbatore,India,Tamil Nadu,,,,, Coimbatore District.,,,,
27,350/DSW/2011,"Udavum Karangal, No.16, Dandhu Mariamman Koil Street, Near Collector Office, Coimbatore – 641 018.",64,"3 years
registration",Udavum Karangal,Coimbatore,India,Tamil Nadu,,,,, Coimbatore – 641 018.,,,,
28,351/DSW/2011,"Indo-Swedish Elida Social Development Project And The Coimbatore Boy’s Town- Elida Childrens Home, NO.10, Kakkan Street, Cross-2, Rathinapuri Post, Coimbatore -27.",77,"3 years
registration",Indo-Swedish Elida Social Development Project And The Coimbatore Boy’s Town- Elida Childrens Home,Coimbatore,India,Tamil Nadu,,,,, Rathinapuri Post, Coimbatore -27.,,,
